"area";"parameter";"sample";"levels";"cond.mad";"decile"
"CH";"a";"random";"1";0,109343786704659;0,2066436016
"CH";"a";"random";"2";0,183506128418669;0,839717102
"CH";"a";"random";"3";0,348856061400069;1,132812509
"CH";"a";"random";"4";0,483902397392986;1,2099447708
"CH";"a";"random";"5";0,564521374237138;1,384297061
"CH";"a";"random";"6";0,584612110825647;1,5189612434
"CH";"a";"random";"7";0,430074958511369;1,78747873
"CH";"a";"random";"8";0,673961705851354;1,9146900208
"CH";"a";"random";"9";0,699028722400626;2,1060819842
"CH";"a";"random";"10";0,483248773543619;3,965708718
"CH";"a";"stratified";"1";0,138068738989946;0,2066436016
"CH";"a";"stratified";"2";0,0607819913553918;0,839717102
"CH";"a";"stratified";"3";0,115464950023768;1,132812509
"CH";"a";"stratified";"4";0,145120547545799;1,2099447708
"CH";"a";"stratified";"5";0,259552480639557;1,384297061
"CH";"a";"stratified";"6";0,288997148284032;1,5189612434
"CH";"a";"stratified";"7";0,268925904820389;1,78747873
"CH";"a";"stratified";"8";0,5886397289132;1,9146900208
"CH";"a";"stratified";"9";0,652096917195342;2,1060819842
"CH";"a";"stratified";"10";0,522648015425348;3,965708718
"CH";"a";"uniform";"1";0,475872140538211;0,2066436016
"CH";"a";"uniform";"2";0,238915877979537;0,839717102
"CH";"a";"uniform";"3";0,185580483379761;1,132812509
"CH";"a";"uniform";"4";0,2388638037441;1,2099447708
"CH";"a";"uniform";"5";0,30130733367553;1,384297061
"CH";"a";"uniform";"6";0,365264955731555;1,5189612434
"CH";"a";"uniform";"7";0,269108344646807;1,78747873
"CH";"a";"uniform";"8";0,51005861798813;1,9146900208
"CH";"a";"uniform";"9";0,594841882667234;2,1060819842
"CH";"a";"uniform";"10";0,475363222529448;3,965708718
"CH";"b";"random";"1";0,0438639978784635;0,2066436016
"CH";"b";"random";"2";0,0688594695450705;0,839717102
"CH";"b";"random";"3";0,0516048095815437;1,132812509
"CH";"b";"random";"4";0,0695265765058513;1,2099447708
"CH";"b";"random";"5";0,0975178561331666;1,384297061
"CH";"b";"random";"6";0,135598242108439;1,5189612434
"CH";"b";"random";"7";0,200893816060088;1,78747873
"CH";"b";"random";"8";0,236362657424224;1,9146900208
"CH";"b";"random";"9";0,341302997018687;2,1060819842
"CH";"b";"random";"10";0,897331697307475;3,965708718
"CH";"b";"stratified";"1";0,0442863512580358;0,2066436016
"CH";"b";"stratified";"2";0,0777025495119343;0,839717102
"CH";"b";"stratified";"3";0,0589634356703231;1,132812509
"CH";"b";"stratified";"4";0,140925614775345;1,2099447708
"CH";"b";"stratified";"5";0,140081849621391;1,384297061
"CH";"b";"stratified";"6";0,0848220777864308;1,5189612434
"CH";"b";"stratified";"7";0,0602463570270579;1,78747873
"CH";"b";"stratified";"8";0,0827616425482399;1,9146900208
"CH";"b";"stratified";"9";0,0570845754466802;2,1060819842
"CH";"b";"stratified";"10";0,53539796903466;3,965708718
"CH";"b";"uniform";"1";0,0887674306875478;0,2066436016
"CH";"b";"uniform";"2";0,127082863259858;0,839717102
"CH";"b";"uniform";"3";0,199639990869319;1,132812509
"CH";"b";"uniform";"4";0,303801473613888;1,2099447708
"CH";"b";"uniform";"5";0,356491756274644;1,384297061
"CH";"b";"uniform";"6";0,25354033342948;1,5189612434
"CH";"b";"uniform";"7";0,240679188168926;1,78747873
"CH";"b";"uniform";"8";0,321122742372028;1,9146900208
"CH";"b";"uniform";"9";0,304555071254256;2,1060819842
"CH";"b";"uniform";"10";0,270700539558928;3,965708718
"CH";"c";"random";"1";0,0125338472701886;0,2066436016
"CH";"c";"random";"2";0,0249024339087214;0,839717102
"CH";"c";"random";"3";0,0128341240541782;1,132812509
