"area";"a";"b";"c";"a01";"b01";"decile"
"CH";3,53336;1,34087;0,13677;3,14606813883331;1,52082702735911;1,78748548095226
"CH";2,47767;1,82861;0,30933;2,20609240087144;2,06860950706061;2,10608971559917
"CH";2,15838;1,83008;0,13413;1,92179980231141;2,07026046914114;2,10608971559917
"CH";3,11394;1,33811;0,15766;2,77262079726906;1,51772726182014;1,51896716803572
"CH";1,33904;-0,24666;0,20167;1,19226772268417;-0,262133402379128;0,206645487803117
"CH";1,04807;0,55132;0,21946;0,933190966747523;0,634080693557651;0,839720936378303
"CH";2,10695;0,73908;0,14776;1,87600704856421;0,844954598483952;1,13281724532918
"CH";1,93888;0,76774;0,16887;1,72635921418172;0,877142743537147;1,13281724532918
"CH";3,86355;0,08927;0,13133;3,44006598755559;0,115150741644584;0,206645487803117
"CH";1,63342;3,51778;0,12276;1,45438070825874;3,9657221720817;3,9657221720817
"CH";1,73079;1,00147;0,27;1,54107797507509;1,13964571434256;1,2099497444905
"CH";2,04864;2,07959;0,11925;1,8240884121458;2,35048601248457;3,9657221720817
"CH";1,34049;1,03565;0,19675;1,19355878807273;1,17803339047369;1,2099497444905
"CH";1,30366;1,05118;0,23195;1,16076572720341;1,19547518714766;1,2099497444905
"CH";1,94651;1,07266;0,32936;1,7331528892953;1,21959944938572;1,38430257122978
"CH";1,41212;1,60777;0,2112;1,2573374182674;1,82058333980494;1,91469716322321
"CH";2,20063;1,67407;0,24121;1,95941877656416;1,89504509894753;1,91469716322321
"CH";4,43583;1,68003;0,27045;3,94961833277135;1,90173879554617;1,91469716322321
"CH";3,04125;1,73772;0,29717;2,70789835375586;1,96653063393134;2,10608971559917
"CH";2,99705;1,18132;0,18751;2,66854311915298;1,34163587093073;1,38430257122978
"CH";1,28092;-0,03828;0,18724;1,14051826035116;-0,0281011041870607;0,206645487803117
"CH";1,63948;3,22867;0,14221;1,45977647119298;3,64102173187482;3,9657221720817
"CH";2,05053;0,95988;0,14344;1,82577124910053;1,09293584160137;1,13281724532918
"CH";2,31975;1,58949;0,11892;2,06548202420885;1,80005300862656;1,91469716322321
"CH";1,92473;1,50185;0,12074;1,71376019676926;1,70162422172977;1,78748548095226
"CH";1,72233;0,22539;0,22096;1,5335452763253;0,268027584095416;0,839720936378303
"CH";2,14778;2,28546;0,17138;1,9123616691261;2,58169932100171;3,9657221720817
"CH";5,86603;1,02878;0,11527;5,22305400084915;1,17031766972995;1,2099497444905
"CH";2,63281;1,21099;0,28106;2,34422749354771;1,37495835047464;1,38430257122978
"CH";2,83963;1,08367;0,17694;2,52837793745195;1,2319648184379;1,38430257122978
"CH";1,6559;1,87439;0,19625;1,47439667373097;2,12002518328305;3,9657221720817
"CH";2,11017;1,58198;0,23073;1,87887410411673;1,79161850167089;1,91469716322321
"CH";3,98011;0,78922;0,18995;3,54384983699704;0,901267005775201;1,13281724532918
"CH";1,68186;0,1343;0,17621;1,49751119613574;0,165724090274917;0,206645487803117
"CH";1,63725;1,31747;0,18855;1,45779090166438;1,49454640648525;1,51896716803572
"CH";2,11495;1,84337;0,12869;1,88313016794935;2,08518651407335;2,10608971559917
"CH";2,73973;0,99387;0,26428;2,43942798413006;1,13111012807584;1,13281724532918
"CH";2,30836;1,49244;0,2204;2,05534048298426;1,69105581820742;1,78748548095226
"CH";2,20464;1,56358;0,14004;1,96298924015596;1,77095339807777;1,78748548095226
"CH";2,17784;1,21931;0,26503;1,93912679021575;1,38430257122978;1,38430257122978
"CH";3,55293;1,2341;0,18404;3,1634930696292;1,40091327134621;1,51896716803572
"CH";3,71752;1,25879;0,16922;3,31004234707916;1,4286426956785;1,51896716803572
"CH";1,02685;0,10876;0,19583;0,914296892578448;0,137040028004905;0,206645487803117
"CH";2,78486;0,55811;0,19808;2,47961128136146;0,641706566024894;0,839720936378303
"CH";1,02714;0,71578;0,17357;0,914555105656159;0,81878628795571;0,839720936378303
"CN";1,85393;0,63073;0,178;1,63916863912228;0,724809820079073;0,772622494717582
"CN";1,71246;-0,07547;0,17405;1,51408668490792;-0,073915420724129;0,599261115242824
"CN";2,74421;1,55431;0,18593;2,42631759082908;1,76939585505645;1,88416595391018
"CN";4,35472;1,09202;0,14701;3,85026427975089;1,24653732833468;1,25368536504082
"CN";2,91476;1,12362;0,11243;2,57711088475188;1,28227751186538;1,41307414238462
"CN";3,01205;1,50249;0,18745;2,66313070044083;1,71078647813996;1,71088600776498
"CN";1,99076;0,67442;0,18662;1,76014809621672;0,774224016865667;0,968518286112141
"CN";2,29781;1,5026;0,13077;2,03162907480949;1,71091089017124;1,88416595391018
"CN";3,21388;1,90806;0,17205;2,84158048356859;2,16949363746106;2,34680905749351
"CN";2,39814;1,69946;0,19017;2,12033673343907;1,93356318541978;2,02631574779275
"CN";2,40418;0,72028;0,21294;2,12567705296586;0,82609252372383;0,968518286112141
"CN";3,31199;1,88363;0,1386;2,92832530952441;2,14186285633273;2,34680905749351
"CN";2,27533;1,8581;0,2625;2,01175318359059;2,11298795489163;2,34680905749351
"CN";3,0376;0,62392;0,2084;2,68572095936623;0,717107584324514;0,772622494717582
"CN";0,29544;3,80025;0,02691;0,261215894204358;4,30959546894705;4,30959546894705
"CN";3,17216;1,35723;0,2178;2,80469337584382;1,54649473574535;1,71088600776498
"CN";0,50541;0,95758;0,04207;0,446862730469214;1,09448320574394;1,25368536504082
"CN";1,29492;1,17942;0,15943;1,14491499364713;1,34538834227719;1,41307414238462
"CN";1,45425;1,67689;0,14048;1,28578802513772;1,90803609863852;2,02631574779275
"CN";2,11734;1,59379;0,09209;1,87206492497514;1,8140484641005;1,88416595391018
"CN";2,97674;1,69468;0,29489;2,6319110510218;1,92815691715153;2,02631574779275
"CN";1,64715;0,84954;0,17537;1,45634226962737;0,972287970659857;1,25368536504082
"CN";3,26129;0,47507;0,24933;2,88349845521843;0,548755485636385;0,599261115242824
"CN";2,28319;2,62945;0,24444;2,01870267224631;2,98539904876525;4,30959546894705
"CN";1,79438;0,79213;0,20738;1,58651697888714;0,907356200517529;0,968518286112141
"CN";1,82854;2,08846;0,1837;1,6167198456148;2,37352936875658;4,30959546894705
"CN";2,11847;1,57164;0,14442;1,87306402448926;1,78899640507503;1,88416595391018
"CN";0,99966;1,19437;0,21325;0,883858248037939;1,3622970683463;1,41307414238462
"CN";1,7008;1,15068;0,14749;1,5037773925764;1,31288287155971;1,41307414238462
"CN";2,82041;2,00971;0,12385;2,49369049611736;2,28446166454636;2,34680905749351
"CN";1,88342;1,48748;0,27044;1,66524248396416;1,69380989096288;1,71088600776498
"CN";2,9073;0,12756;0,21003;2,57051505964098;0,155715258460626;0,599261115242824
"CN";1,92924;2,72331;0,17678;1,70575464302334;3,09155644199916;4,30959546894705
"CN";2,54499;0,32436;0,18403;2,25017546233127;0,378299692601196;0,599261115242824
"CN";1,57481;1,65344;0,22044;1,39238221754659;1,88151371560703;1,88416595391018
"CN";2,21526;0,67088;0,17268;1,95864176074718;0,770220211495455;0,772622494717582
"CN";0,74154;0,63222;0,01071;0,655639162565326;0,726495037593654;0,772622494717582
"CN";2,93991;1,73038;0,232;2,59934748013246;1,96853427639349;2,02631574779275
"CN";2,6178;0,81621;0,05772;2,3145510690772;0,934591125182695;0,968518286112141
"CN";1,0062;2,26887;0,12084;0,889640646995753;2,57757641023676;4,30959546894705
