"area";"sample";"parameter";"bias";"df_mad$mad";"df_rmse$rmse";"df_cor$cor"
"CH";"random";"a";-0,447063143651827;0,453870128419586;0,474497798520029;0,940958865411237
"CH";"random";"b";0,191342431533084;0,219958433257265;0,242361995614317;0,988626617445397
"CH";"random";"c";-0,0138432391149774;0,0173531564986211;0,0193533832312098;0,969927730745206
"CH";"stratified";"a";-0,255540209640152;0,306345769039176;0,325523997250855;0,924621240493074
"CH";"stratified";"b";-0,00573049842199894;0,133124020863401;0,145518705960802;0,980571045852569
"CH";"stratified";"c";-0,0162510091918497;0,0197189521507282;0,0215862167603872;0,974395789897754
"CH";"uniform";"a";-0,188922084457811;0,368197521102941;0,379245389410507;0,87678700197054
"CH";"uniform";"b";-0,198273607732833;0,246716622615955;0,251190983921886;0,976073814303169
"CH";"uniform";"c";-0,0590205010966096;0,0590205010966096;0,0594831473003211;0,908497658351654
"CN";"random";"a";-0,482108234804888;0,521071995253662;0,54506561663252;0,819334930080507
"CN";"random";"b";0,378227902051104;0,395322740415288;0,429362108871097;0,931310152868444
"CN";"random";"c";0,00114518223062718;0,025978645558614;0,0279439798550858;0,719907269285882
"CN";"stratified";"a";-0,290160397702808;0,412429737075884;0,429965825975695;0,778086688533594
"CN";"stratified";"b";0,0701662487560671;0,164167957346047;0,179031851653842;0,947857290517915
"CN";"stratified";"c";-0,00495576309178992;0,0288603395204554;0,0304412402484667;0,722214493929842
"CN";"uniform";"a";-0,0936648731579478;0,353460892078929;0,364148753833225;0,833302405321539
"CN";"uniform";"b";-0,234507494156267;0,263077554505178;0,265658788917927;0,98096031186945
"CN";"uniform";"c";-0,0356929065572175;0,0514898244231789;0,0520171225009125;0,727316395948632
"LC";"random";"a";-0,431441122696531;0,456543456170128;0,4724843411695;0,729556058066959
"LC";"random";"b";0,262993485217834;0,326403610917375;0,353516017030961;0,943400966451194
"LC";"random";"c";-0,00170341572139036;0,0345937730407747;0,0357758908108069;0,682534487265631
"LC";"stratified";"a";-0,200958468326646;0,317484533649577;0,334112704462636;0,749113153071556
"LC";"stratified";"b";-0,0420501101101966;0,167565843316394;0,179926733610091;0,950975688663027
"LC";"stratified";"c";-0,00204498600720807;0,0357715597919248;0,0371009270004204;0,592892186753623
"LC";"uniform";"a";0,101818144884981;0,380667511064582;0,390644364859566;0,720581221063055
"LC";"uniform";"b";-0,268264498861277;0,327939994209432;0,330494262373183;0,933747712107128
"LC";"uniform";"c";-0,0370752408057488;0,0542696534146999;0,0547667701731953;0,639945846762034
"MT";"random";"a";-0,310977004053612;0,350150479421525;0,372349698764977;0,702744458685141
"MT";"random";"b";0,364647129736818;0,371489226846388;0,411054441817895;0,961292852796409
"MT";"random";"c";0,00155635361728566;0,015513042187228;0,017191536744864;0,901516554405631
"MT";"stratified";"a";-0,215773817797227;0,348193900470422;0,36315773558629;0,668433617528641
"MT";"stratified";"b";0,0744665710563816;0,184658325088394;0,197686730155991;0,973130411068325
"MT";"stratified";"c";-0,00486842802001018;0,0195512972748528;0,0210718379564174;0,875268616721676
"MT";"uniform";"a";-0,122339560240782;0,294017056693479;0,305055327043944;0,763635899472695
"MT";"uniform";"b";-0,221075131133249;0,271797702494467;0,275628526438357;0,984043682905156
"MT";"uniform";"c";-0,0248764006574046;0,033333922567017;0,0341731893487954;0,856238590006669
